Role,Company,Location,Stipend,Duration,Posted,Applicant,Skills,Applicants
Event Management,The Jspot Comedy Club,Mumbai,"₹ 10,000 /month",6 Months,2 weeks ago,,"English Proficiency (Spoken)
Event Management
MS-Excel",181 applicants
Volunteering,Chain Bihari Ashray Foundation,"Agra, Delhi, Noida, Mathura                                                                (Hybrid)",Unpaid,1 Month,2 weeks ago,,"Collaboration
Effective Communication
English Proficiency (Spoken)
Hindi Proficiency (Spoken)
Public Speaking
Team Management",86 applicants
Content and Social Media Marketing,Scion Social,Bangalore,"₹ 5,000 - 8,000 /month",3 Months,2 weeks ago,,"Content Marketing
Search Engine Optimization (SEO)
Social Media Marketing
Video Making",55 applicants
HR,Central Depository Services (India) Limited,Mumbai,"₹ 9,001 - 9,502 /month",6 Months,2 weeks ago,,"Attention to Detail
Computer skills
Coordination
Creativity
Effective Communication
Interpersonal skills
Public Relations",55 applicants
Sales and Marketing,Purpose Buddy,Pune,"₹ 7,000 - 13,000 /month",6 Months,2 weeks ago,,"Content Management
Coordination
Effective Communication
Management
Marketing
Sales
Sales Strategy",34 applicants
Design intern,Vogabe Advisors Private Limited,Work from home,"₹ 5,000 /month",6 Months,2 weeks ago,,"Adobe InDesign
Canva
CorelDRAW
Creative Direction
Creative Thinking
Creativity
Design Thinking
English Proficiency (Spoken)
English Proficiency (Written)
Graphic Design
MS-PowerPoint
MS-Word",246 applicants
C++ Development,Wobot Intelligence Private Limited,Work from home,"₹ 12,499 - 12,500 /month",6 Months,2 weeks ago,,"C++ Programming
Computer Vision
Docker
Git
OpenCV",1000+ applicants
Associate Product Designer,Better,Work from home,"₹ 10,000 /month",6 Months,2 weeks ago,,"Design System
Effective Communication
Prototyping
UI & UX Design
User flows
User Interface (UI) Development
Wireframing",683 applicants
Associate Product Manager,Better,Work from home,"₹ 10,000 /month",6 Months,2 weeks ago,,"Collaboration
Effective Communication
Planning
Problem Solving
Product Lifecycle Management(PLM)
Product Management
Stakeholder Management
Strategy
Teamwork
Valuation",1000+ applicants
Business Development (Sales),LoanKone,Work from home,"₹ 5,000 - 10,000 /month",3 Months,2 weeks ago,,"Digital Marketing
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel",82 applicants
Video Editing/Making,Adobuz,Kakinada                                                                (Hybrid),"₹ 5,000 - 15,000 /month",6 Months,2 weeks ago,,"Adobe Illustrator
Adobe Photoshop
Adobe Premiere Pro
Final Cut Pro
Video Editing
Video Making",Be an early applicant
Marketing,Run India Run,Mumbai,"₹ 10,000 - 16,000 /month",3 Months,2 weeks ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Hindi Proficiency (Spoken)
MS-Excel
MS-Office
Research and Analytics",110 applicants
HR Engagement,AlgoLeap Technologies Private Limited,Hyderabad,"₹ 3,000 - 4,000 /month",3 Months,2 weeks ago,,"ATS
Client Relationship Management (CRM)
Coordination
Effective Communication
Email Marketing
Employment engagement
Event Management
Interpersonal skills
Planning",59 applicants
Campus Ambassador,Billion Hearts,Work from home,Performance Based,1 Month,2 weeks ago,,"English Proficiency (Spoken)
Event Management
Marketing
Social Media Marketing",420 applicants
Digital Marketing,Fly With Talent,Work from home,"₹ 5,000 - 7,000 /month",1 Month,2 weeks ago,,"Affiliate Marketing
Digital Marketing
Salesforce
Sales Strategy
Sales Support",1000+ applicants
Communications,ADRA NA,"Delhi, Gurgaon","₹ 10,000 /month",3 Months,2 weeks ago,,"Canva
Content Writing
English Proficiency (Written)",163 applicants
Front End Development,TickYourList,Work from home,"₹ 1,000 - 2,000 /month",3 Months,2 weeks ago,,"AngularJS
Bootstrap
CSS
HTML
JavaScript
jQuery
Next.js
Node.js
React
Redux",1000+ applicants
Mobile App Development (Flutter/React Native/Android/iOS),CometChat,Work from home,"₹ 10,000 - 15,000 /month",3 Months,2 weeks ago,,"Android
Flutter
iOS
Kotlin
React
Vue.js",844 applicants
Copywriting,Astrotalk,Noida,"₹ 15,000 - 20,000 /month",3 Months,2 weeks ago,,"Copywriting
Creative Writing
English Proficiency (Spoken)
English Proficiency (Written)",395 applicants
Back Office Executive,AVM Healthcare Products Private Limited,Delhi,"₹ 10,000 - 12,000 /month",6 Months,2 weeks ago,,"MS-Excel
MS-Word",325 applicants
Bio Medical Engineer,AVM Healthcare Products Private Limited,Delhi,"₹ 10,000 - 15,000 /month",6 Months,2 weeks ago,,"MS-Excel
MS-Office
MS-Word",140 applicants
Administration,Ascent Foundation,"Thane, Navi Mumbai, Mumbai","₹ 7,000 - 12,000 /month",6 Months,2 weeks ago,,"Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office",90 applicants
Sales and Marketing,4K Sports Infra Private Limited,"Hyderabad, Nellore, Vijayawada","₹ 5,000 - 10,000 /month",3 Months,2 weeks ago,,Sales Management,Be an early applicant
Recruiter,AVM Healthcare Products Private Limited,Delhi,"₹ 10,000 - 15,000 /month",6 Months,2 weeks ago,,"MS-Excel
MS-Office",230 applicants
Production (Corporate Event Organization),Group Futurista,Work from home,"₹ 6,000 - 8,000 /month",6 Months,2 weeks ago,,"Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
LinkedIn Marketing",149 applicants
Architecture & Design Apprenticeship,Nativity,Bangalore,"₹ 5,000 /month",4 Months,2 weeks ago,,"Adobe Photoshop
AutoCAD
Effective Communication
Google SketchUp 
Sketching",31 applicants
Talent Acquisition,EClytics Consulting,Gurgaon,"₹ 15,000 - 20,000 /month",3 Months,2 weeks ago,,English Proficiency (Spoken),409 applicants
Business Development (Sales),Creative Platforms LLP,Work from home,"₹ 5,000 - 10,000 /month",6 Months,2 weeks ago,,"DaVinci Resolve
English Proficiency (Spoken)
English Proficiency (Written)
Filmora
Internet
Interpersonal skills
MS-Excel
Video Editing",61 applicants
Supply Chain Management (SCM),MHLondon,Noida,"₹ 12,000 - 15,000 /month",4 Months,2 weeks ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
Power BI",372 applicants
Sales,Baweja Media,Work from home,"₹ 15,000 - 20,000 /month",3 Months,2 weeks ago,,Sales,389 applicants
Travel & Tourism,Francesco Immigration And Abroad Services,Mohali                                                                (Hybrid),"₹ 5,000 - 11,000 /month",5 Weeks,2 weeks ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Holiday Package Design",192 applicants
Full Stack Development,Syncware,Work from home,"₹ 6,000 - 8,000 /month",6 Months,2 weeks ago,,"Django Rest Framework
GitHub
MongoDB
Next.js
Python",1000+ applicants
Telecalling,Nishat Events Advertisement Private Limited,Patna,"₹ 10,000 - 15,000 /month",6 Months,2 weeks ago,,"Hindi Proficiency (Spoken)
MS-Excel",110 applicants
Marketing,Saumya Thakkar & Associates,Mumbai,"₹ 8,000 - 10,000 /month",4 Months,2 weeks ago,,"Canva
Content Editing
Creative Thinking
Design Thinking
Effective Communication
Search Engine Optimization (SEO)
Social Media Marketing",54 applicants
ReactJS Development,Xenotix Tech,"Ghaziabad, Modinagar                                                                (Hybrid)","₹ 10,000 - 25,000 /month",6 Months,2 weeks ago,,"CSS
Figma
Golang
JavaScript
Next.js
Node.js
React Native
Research and Analytics
REST API
UI & UX Design",1000+ applicants
Inside Sales,MBBSInfo Educational Services,Pune,"₹ 10,000 - 15,000 /month",3 Months,2 weeks ago,,"Effective Communication
Interpersonal skills",33 applicants
Social Media Marketing,Bau Bau Pet Services,Mumbai                                                                (Hybrid),"₹ 15,000 /month",6 Months,2 weeks ago,,"Canva
Content Marketing
Content Writing
Creative Writing
Digital Marketing
Facebook Marketing
Instagram Marketing
Social Media Marketing",157 applicants
Executive Assistant,Shalini Rajani,"Gurgaon, Delhi","₹ 6,500 - 10,000 /month",3 Months,2 weeks ago,,"Canva
Coordination
Effective Communication
MS-Excel
Organizational Development
Time Management
Zoom",56 applicants
Human Resources (HR),Global Headhunters,Work from home,"₹ 9,000 - 17,000 /month",6 Months,2 weeks ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office
MS-Word",1000+ applicants
Human Resources (HR),Masterjitailor Online,Noida                                                                (Hybrid),"₹ 30,000 - 35,000 /month",6 Months,2 weeks ago,,MS-Office,494 applicants
Search Engine Optimization (SEO),ActiveLoc,Work from home,"₹ 11,000 - 12,000 /month",2 Months,2 weeks ago,,"Copywriting
Digital Marketing
English Proficiency (Written)
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)",751 applicants
Business Development (Sales),Ipsator Analytics Private Limited,Noida,"₹ 12,000 - 15,000 /month",6 Months,2 weeks ago,,"Business Development
Marketing Strategies",62 applicants
Video Editing/Making,DigiEuno,Work from home,"₹ 8,000 - 20,000 /month",6 Months,2 weeks ago,,"Adobe Premiere Pro
Canva
DaVinci Resolve
Video Editing",544 applicants
Medicine Operation Manager,Immersive Vision Technology Private Limited,Pune,"₹ 15,000 /month",3 Months,2 weeks ago,,"Bioinformatics
Biology",87 applicants
Operation & Maintenance Supervisor,Movi Ecoserve Private Limited,Mumbai,"₹ 5,000 - 6,000 /month",6 Months,2 weeks ago,,"Engineering Drawing
Engineering Surveying
Technical Analysis",32 applicants
Business Development (Sales),Brainstormm Kidskills Avenue,"Pune, Pimpri-Chinchwad, Kolhapur, Solapur, Goa Velha","₹ 7,500 - 16,000 /month",2 Months,2 weeks ago,,"Effective Communication
English Proficiency (Spoken)
Field Sales
MS-Excel
Sales",68 applicants
Talent Acquisition,Sykam Consultancy Services Private Limited,"Secunderabad, Hyderabad","₹ 8,000 - 13,000 /month",3 Months,2 weeks ago,,"Adaptability
Attention to Detail
Coordination
Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
Interpersonal skills
Interview Coordination
MS-Excel
MS-Word
Recruitment
Resume screening
Time Management",107 applicants
Digital Marketing,PepDeal Infotech Private Limited,Mumbai,"₹ 10,000 - 12,000 /month",5 Months,2 weeks ago,,"Canva
Capcut
Digital Marketing
Image Editing
Instagram Marketing
Social Media Marketing
Video Editing",145 applicants
Social Media Marketing,Wonder Images Private Limited,Kolkata,"₹ 15,000 - 16,000 /month",5 Months,2 weeks ago,,"Digital Marketing
Facebook Ads
Facebook Marketing
Instagram Marketing
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing
YouTube Ads",66 applicants
Marketing,Unimonks,Delhi,"₹ 4,500 - 17,000 /month",4 Months,2 weeks ago,,"Customer Acquisition
Team Management",250 applicants
Client Acquisition,AMPM Electrical,Work from home,"₹ 3,000 - 5,000 /month",3 Months,2 weeks ago,,"Client Relationship Management (CRM)
Customer Acquisition
Digital Marketing
Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
Facebook Ads
Facebook Marketing
Lead Generation
LinkedIn Marketing
MS-Excel
Search Engine Optimization (SEO)
Social Media Marketing",99 applicants
Digital Marketing,NIAD Australia,Noida,"₹ 6,000 - 10,000 /month",3 Months,2 weeks ago,,"Creative Writing
Digital Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Facebook Marketing
Instagram Marketing
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing",89 applicants
Human Resources (HR),Orgro Solutions,Hyderabad                                                                (Hybrid),"₹ 5,001 - 6,501 /month",2 Months,2 weeks ago,,"Canva
English Proficiency (Spoken)
English Proficiency (Written)
Hindi Proficiency (Spoken)
MS-Excel
MS-Office
MS-Word
Telugu Proficiency (Spoken)",189 applicants
Java Development,Maxgen Technologies Private Limited,Ahmedabad,"₹ 7,000 - 12,000 /month",3 Months,2 weeks ago,,"Hibernate ORM(Java)
Java
MySQL
Spring MVC",682 applicants
Full Stack Development,Maxgen Technologies Private Limited,Pune,"₹ 7,000 - 12,000 /month",3 Months,2 weeks ago,,"HTML
MongoDB
Node.js
PHP
Python
React",1000+ applicants
WordPress Development,Value Ladders,Hyderabad,"₹ 10,000 - 12,000 /month",3 Months,2 weeks ago,,WordPress,75 applicants
Internet Of Things (IoT),Eagle Control Systems,Kalyan,"₹ 2,000 - 5,000 /month",6 Months,2 weeks ago,,"Android
APIs
Arduino
ARM Microcontroller
C#.NET
C++ Programming
Circuit Design
C Programming
Embedded Systems
Internet of Things (IoT)
JavaScript
PCB Design
PCB Soldering
Python
Raspberry Pi
React",47 applicants
Business Development (Sales),ClimbNRise Digital Marketing Pvt Ltd,Work from home,"₹ 5,000 /month",3 Months,2 weeks ago,,"Digital Marketing
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
Research and Analytics
Sales Strategy
Social Media Marketing",114 applicants
Video Editing/Making,Framed,Kolkata,"₹ 15,000 /month",6 Months,2 weeks ago,,"Adobe After Effects
Adobe Illustrator
Adobe Premiere Pro
DaVinci Resolve
Video Making",102 applicants
Video Editing/Making,Framed,Kolkata,"₹ 15,000 /month",6 Months,2 weeks ago,,"Adobe After Effects
Adobe Illustrator
Adobe Premiere Pro
DaVinci Resolve
Video Making",102 applicants
Telecalling,Udaghosh Social Welfare Society,Work from home,"₹ 3,000 - 5,000 /month",3 Months,2 weeks ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Hindi Proficiency (Spoken)
MS-Excel",389 applicants
Sales,Ramada Encore By Wyndham Gurugram Dwarka Expressway,Gurgaon,"₹ 15,000 - 20,000 /month",6 Months,2 weeks ago,,"Effective Communication
Marketing
Sales Strategy
Self-learning",82 applicants
Customer Service/Customer Support Executive,Jaina India Private Limited (Karbonn Mobiles),"Faridabad, Noida, Delhi","₹ 20,000 - 25,000 /month",6 Months,2 weeks ago,,"English Proficiency (Spoken)
Zendesk
Zoho CRM",42 applicants
CS Articleship,Forum Galani,Mumbai,"₹ 5,000 - 10,000 /month",24 Months,2 weeks ago,,"Computer Networks
English Proficiency (Spoken)
English Proficiency (Written)
MS-Office
Problem Solving
Statutory compliances
Time Management",Be an early applicant
Graphic Design,RAMA SPORTS,Mumbai,"₹ 10,000 /month",1 Month,2 weeks ago,,"Adobe Illustrator
Canva
CorelDRAW
Creative Direction
Creative Thinking
Problem Solving
Video Editing",51 applicants
Social Media And Marketing,Aastha Jain Jewelry,Jaipur,"₹ 2,000 - 4,000 /month",6 Months,2 weeks ago,,"Canva
Content Management
Instagram Marketing
MS-Excel",Be an early applicant
Client Servicing,Tech2Edge Technology Solutions,Turbhe,"₹ 5,000 - 8,000 /month",3 Months,2 weeks ago,,"Effective Communication
English Proficiency (Spoken)
Interpersonal skills",Be an early applicant
Video Editing/Making,CoverMitra Insurance Broking Private Limited,"Thane, Navi Mumbai, Mumbai","₹ 5,000 - 20,000 /month",6 Months,2 weeks ago,,"Adobe Illustrator
Adobe Photoshop
Adobe Premiere Pro
Final Cut Pro
Video Editing
Video Making",Be an early applicant
Business Development (Sales),Sprout Rite Enterprises,Kochi                                                                (Hybrid),"₹ 5,500 - 25,000 /month",6 Months,2 weeks ago,,"Client Relationship
Effective Communication
Malayalam Proficiency (Spoken)",41 applicants
Human Resources (HR),Aadi Foundation,Work from home,Unpaid,2 Months,2 weeks ago,,"Canva
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel",621 applicants
B2B Outreach & Collaborations,Alokya,Work from home,"₹ 2,000 - 8,000 /month",6 Months,2 weeks ago,,"Business Research
Client Interaction
Client Relationship
Effective Communication
Market Analysis
Negotiation
Problem Solving",75 applicants
Video Editing/Making,Dotdevz Consulting,"Greater Noida, Noida, Greater Noida West                                                                (Hybrid)","₹ 6,000 - 13,000 /month",6 Months,2 weeks ago,,"Content Writing
Digital Marketing
Email Marketing
English Proficiency (Spoken)
Facebook Marketing
Instagram Marketing
Social Media Marketing
Video Editing
Videography
Video Making
Video Marketing",60 applicants
Video Editing/Making,EmptyCup,Work from home,"₹ 5,000 /month",3 Months,2 weeks ago,,"Adobe Premiere Pro
Canva
Final Cut Pro
Video Editing",532 applicants
Marketing,Greenovative Energy Private Limited,Pune,"₹ 5,000 - 10,000 /month",3 Months,2 weeks ago,,"Digital Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Social Media Marketing",55 applicants
